method,pattern,rate,seed,mdape,flips,coverage
PEDIGREE,BLOCK,0.2,1,0.10957998398056076,0.024465858310439084,0.0
KNN,BLOCK,0.2,1,0.22180481308790873,0.024447267494302257,0.0
SOFTIMPUTE,BLOCK,0.2,1,0.14220837015792004,0.003076952207831553,
VAE,BLOCK,0.2,1,0.13369434905900887,0.0,0.013157894736842105
GNN,BLOCK,0.2,1,1.36179062494699,0.03643799962818368,0.013157894736842105
PEDIGREE,BLOCK,0.2,2,0.07558006969811307,0.0,0.0
KNN,BLOCK,0.2,2,0.1653718529780896,0.0,0.0
SOFTIMPUTE,BLOCK,0.2,2,0.12816406140186865,0.0,
VAE,BLOCK,0.2,2,0.25731225210285036,0.0030303030303030303,0.0
GNN,BLOCK,0.2,2,1.3679956122689623,0.024242424242424242,0.0
PEDIGREE,BLOCK,0.4,0,0.14380050208097117,0.01983657295518236,0.15789473684210525
KNN,BLOCK,0.4,0,0.22066092275331356,0.018321421440030846,0.3157894736842105
SOFTIMPUTE,BLOCK,0.4,0,0.36234513197795526,0.07180874870036424,
VAE,BLOCK,0.4,0,0.49427450355201447,0.053365626269511746,0.3684210526315789
GNN,BLOCK,0.4,0,0.12323944304968087,0.04273150730205945,0.0
PEDIGREE,BLOCK,0.4,1,0.1459983619676944,0.038102221946802725,0.4605263157894737
KNN,BLOCK,0.4,1,0.27176334026691373,0.025943828193316944,0.618421052631579
SOFTIMPUTE,BLOCK,0.4,1,0.4508271560246064,0.04417263982703655,
VAE,BLOCK,0.4,1,0.16926026415193632,0.018265993265993267,0.5263157894736842
GNN,BLOCK,0.4,1,1.7100657776288144,0.037934560327198365,0.039473684210526314
PEDIGREE,BLOCK,0.4,2,0.148654658525691,0.038102221946802725,0.27631578947368424
KNN,BLOCK,0.4,2,0.24512377320497833,0.01986463131657406,0.7763157894736842
SOFTIMPUTE,BLOCK,0.4,2,0.4306319169572685,0.045687791342188075,
VAE,BLOCK,0.4,2,0.3674814883058414,0.012205387205387205,0.39473684210526316
GNN,BLOCK,0.4,2,0.4436046782400668,0.01213980293734895,0.013157894736842105
